Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter,Birth_Country,Salary,Contract_Type
18,2009,OF,Xavier Paul,24,11,16,14,3,3,1,0,1,1,0,1,2,4,0.214,0.313,0.5,0.813,115,7,1,0,0,0,0,Left,No,USA,311000.0,Rookie
19,2009,DH,Mitch Jones,31,8,15,13,1,4,1,0,0,0,0,0,0,6,0.308,0.4,0.385,0.785,114,5,0,2,0,0,0,Right,No,Puerto Rico,361000.0,Rookie
20,2009,IF,Tony Abreu,24,6,11,8,0,2,0,0,0,1,0,1,3,2,0.25,0.455,0.25,0.705,97,2,0,0,0,0,0,Right,Yes,USA,329000.0,Rookie
21,2009,C,A.J. Ellis,28,8,10,10,0,1,0,0,0,1,0,0,0,1,0.1,0.1,0.1,0.2,-46,1,0,0,0,0,0,Right,No,USA,362000.0,Rookie
22,2009,OF,Jason Repko,28,10,7,5,1,0,0,0,0,1,1,0,0,2,0.0,0.143,0.0,0.143,-57,0,0,1,0,1,0,Right,No,USA,306000.0,Rookie
23,2009,SS,Chin-lung Hu,25,5,6,5,2,2,1,0,0,2,0,0,0,2,0.4,0.333,0.6,0.933,146,3,1,0,0,1,0,Right,No,Dominican Republic,316000.0,Rookie
24,2009,P,Randy Wolf,32,33,81,68,5,11,4,0,1,11,1,0,2,22,0.162,0.194,0.265,0.459,23,18,1,1,9,1,0,Left,No,USA,377000.0,Rookie
25,2009,P,Chad Billingsley,24,30,67,56,2,10,2,0,1,4,0,0,4,24,0.179,0.233,0.268,0.501,35,15,1,0,7,0,0,Right,No,Dominican Republic,320000.0,Rookie
26,2009,P,Clayton Kershaw,21,30,59,48,2,5,0,0,0,2,0,0,3,16,0.104,0.157,0.104,0.261,-28,5,1,0,8,0,0,Left,No,USA,35000000.0,Superstar
27,2009,P,Hiroki Kuroda,34,19,39,28,1,4,0,0,0,0,0,0,2,11,0.143,0.2,0.143,0.343,-5,4,0,0,9,0,0,Right,No,Japan,325000.0,Rookie
28,2009,P,Eric Stults,29,11,21,15,1,1,0,0,0,2,0,0,3,8,0.067,0.211,0.067,0.277,-20,1,0,0,2,1,0,Left,No,Japan,358000.0,Rookie
29,2009,P,Jeff Weaver,32,26,15,13,1,3,0,0,0,0,0,0,0,6,0.231,0.231,0.231,0.462,25,3,0,0,2,0,0,Right,No,USA,362000.0,Rookie
30,2009,P,Vicente Padilla,31,8,14,13,0,3,0,0,0,2,0,0,0,7,0.231,0.231,0.231,0.462,25,3,0,0,1,0,0,Right,No,Japan,346000.0,Rookie
31,2009,P,Jon Garland,29,6,13,12,0,0,0,0,0,0,0,0,0,8,0.0,0.077,0.0,0.077,-77,0,0,1,0,0,0,Right,No,USA,327000.0,Rookie
32,2009,P,Eric Milton,33,6,11,8,0,0,0,0,0,0,0,0,0,3,0.0,0.111,0.0,0.111,-67,0,0,1,2,0,0,Left,No,Venezuela,319000.0,Rookie
33,2009,P,James McDonald,24,44,10,9,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,-100,0,1,0,1,0,0,Left,No,Mexico,303000.0,Rookie
34,2009,P,Jason Schmidt,36,5,7,6,1,1,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.333,-9,1,0,0,1,0,0,Right,No,USA,327000.0,Rookie
35,2009,P,Ramon Troncoso,26,68,6,5,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,-100,0,0,0,1,0,0,Right,No,USA,359000.0,Rookie
36,2009,P,Charlie Haeger,25,6,5,4,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100,0,0,0,1,0,0,Right,No,Dominican Republic,384000.0,Rookie
37,2009,P,Scott Elbert,23,19,5,5,1,1,1,0,0,1,0,0,0,2,0.2,0.2,0.4,0.6,57,2,0,0,0,0,0,Left,No,Mexico,378000.0,Rookie
38,2009,P,Ronald Belisario,26,66,4,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,USA,369000.0,Rookie
39,2009,P,Guillermo Mota,35,58,4,3,0,1,0,0,0,1,0,0,0,1,0.333,0.333,0.333,0.667,81,1,0,0,1,0,0,Right,No,Dominican Republic,371000.0,Rookie
40,2009,P,Will Ohman,31,21,3,2,0,1,0,0,0,1,0,0,0,1,0.5,0.5,0.5,1.0,172,1,0,0,1,0,0,Left,No,USA,360000.0,Rookie
41,2009,P,Cory Wade,26,25,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,USA,323000.0,Rookie
42,2009,P,Jonathan Broxton,25,68,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,USA,382000.0,Rookie
43,2009,P,George Sherrill,32,30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,USA,360000.0,Rookie
44,2009,P,Claudio Vargas,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Dominican Republic,350000.0,Rookie
45,2009,P,Hung-Chih Kuo,27,35,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,Puerto Rico,310000.0,Rookie
46,2009,P,Travis Schlichting,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Japan,340000.0,Rookie
47,2009,P,Brent Leach,26,34,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,USA,341000.0,Rookie
1,2008,C,Russell Martin,25,155,650,553,87,155,25,0,13,69,18,6,90,83,0.28,0.385,0.396,0.781,108,219,16,5,0,2,8,Right,No,USA,2889000.0,Arbitration
2,2008,1B,James Loney,24,161,651,595,66,172,35,6,13,90,7,4,45,85,0.289,0.338,0.434,0.772,103,258,25,3,1,7,6,Left,No,Dominican Republic,2096000.0,Arbitration
3,2008,2B,Jeff Kent,40,121,474,440,42,123,23,1,12,59,0,1,25,52,0.28,0.327,0.418,0.745,96,184,13,7,0,2,1,Right,No,Venezuela,1150000.0,Rookie
4,2008,SS,Ángel Berroa,30,84,256,226,26,52,13,1,1,16,0,0,20,41,0.23,0.304,0.31,0.614,64,70,13,4,6,0,4,Right,No,Puerto Rico,1878000.0,Arbitration
5,2008,3B,Blake DeWitt,22,117,421,368,45,97,13,2,9,52,3,0,45,68,0.264,0.344,0.383,0.728,93,141,6,3,0,5,9,Left,No,Puerto Rico,1110000.0,Rookie
6,2008,LF,Juan Pierre,30,119,406,375,44,106,10,2,1,28,40,12,22,24,0.283,0.327,0.328,0.655,75,123,3,3,5,1,1,Left,No,USA,1346000.0,Rookie
7,2008,CF,Matt Kemp,23,155,657,606,93,176,38,5,18,76,35,11,46,153,0.29,0.34,0.459,0.799,110,278,11,1,1,3,6,Right,No,USA,1236000.0,Rookie
8,2008,RF,Andre Ethier,26,141,596,525,90,160,38,5,20,77,6,3,59,88,0.305,0.375,0.51,0.885,132,268,6,4,1,7,0,Left,No,USA,5078000.0,Arbitration
9,2008,CF,Andruw Jones,31,75,238,209,21,33,8,1,3,14,0,1,27,76,0.158,0.256,0.249,0.505,35,52,5,1,0,1,0,Right,No,USA,894000.0,Rookie
10,2008,3B,Casey Blake,34,58,233,211,25,53,12,1,10,23,1,0,16,52,0.251,0.313,0.46,0.773,102,97,9,4,0,2,5,Right,No,USA,2114000.0,Arbitration
11,2008,LF,Manny Ramirez,36,53,229,187,36,74,14,0,17,53,2,0,35,38,0.396,0.489,0.743,1.232,221,139,5,3,0,4,16,Right,No,Dominican Republic,5547000.0,Arbitration
12,2008,SS,Nomar Garciaparra,34,55,181,163,24,43,9,0,8,28,1,1,15,11,0.264,0.326,0.466,0.792,107,76,12,1,0,2,2,Right,No,USA,2135000.0,Arbitration
13,2008,SS,Rafael Furcal,30,36,164,143,34,51,12,2,5,16,8,3,20,17,0.357,0.439,0.573,1.012,166,82,3,1,0,0,0,Right,Yes,South Korea,8122000.0,Mid
14,2008,UT,Delwyn Young,26,83,143,126,10,31,9,0,1,7,0,0,14,34,0.246,0.321,0.341,0.663,76,43,2,0,3,0,0,Right,Yes,USA,1512000.0,Arbitration
15,2008,SS,Chin-lung Hu,24,65,129,116,16,21,2,2,0,9,2,0,11,23,0.181,0.252,0.233,0.485,30,27,5,0,2,0,4,Right,No,Dominican Republic,654000.0,Rookie
16,2008,UT,Mark Sweeney,38,98,108,92,2,12,3,0,0,5,0,0,15,28,0.13,0.25,0.163,0.413,13,15,0,0,0,1,0,Left,No,USA,347000.0,Rookie
17,2008,MI,Luis Maza,28,45,88,79,7,18,1,0,1,4,0,0,5,11,0.228,0.282,0.278,0.561,50,22,5,1,3,0,0,Right,No,Venezuela,387000.0,Rookie
18,2008,3B,Andy LaRoche,24,27,69,59,6,12,1,0,2,6,0,0,10,7,0.203,0.319,0.322,0.641,71,19,5,0,0,0,0,Right,No,USA,365000.0,Rookie
19,2008,C,Danny Ardoin,33,24,54,51,3,12,1,0,1,4,1,0,2,10,0.235,0.278,0.314,0.592,57,16,2,1,0,0,0,Right,No,Dominican Republic,327000.0,Rookie
20,2008,UT,Pablo Ozuna,33,36,33,32,6,7,0,1,1,3,1,1,1,5,0.219,0.242,0.375,0.617,61,12,1,0,0,0,0,Right,No,USA,375000.0,Rookie
21,2008,C,Gary Bennett,36,10,23,21,1,4,1,0,1,4,0,0,2,0,0.19,0.261,0.381,0.642,68,8,1,0,0,0,0,Right,No,Venezuela,325000.0,Rookie
22,2008,OF,Jason Repko,27,22,20,18,0,3,1,0,0,0,1,0,2,9,0.167,0.25,0.222,0.472,27,4,0,0,0,0,0,Right,No,Mexico,379000.0,Rookie
23,2008,LF,Terry Tiffee,29,6,5,4,0,1,0,0,0,0,0,0,0,0,0.25,0.4,0.25,0.65,78,1,0,1,0,0,0,Right,Yes,USA,310000.0,Rookie
24,2008,C,A.J. Ellis,27,4,3,3,1,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,Venezuela,363000.0,Rookie
25,2008,P,Derek Lowe,35,32,75,65,4,9,0,0,0,5,0,0,3,20,0.138,0.176,0.138,0.315,-15,9,0,0,7,0,0,Right,No,USA,349000.0,Rookie
26,2008,P,Chad Billingsley,23,35,72,63,1,6,0,0,0,3,0,0,4,36,0.095,0.149,0.095,0.244,-33,6,0,0,5,0,0,Right,No,Dominican Republic,309000.0,Rookie
27,2008,P,Hiroki Kuroda,33,30,65,54,2,8,1,0,0,2,0,0,5,16,0.148,0.22,0.167,0.387,5,9,1,0,6,0,0,Right,No,Japan,322000.0,Rookie
28,2008,P,Clayton Kershaw,20,21,38,29,1,2,0,0,0,0,0,0,0,13,0.069,0.069,0.069,0.138,-63,2,0,0,9,0,0,Left,No,USA,35000000.0,Superstar
29,2008,P,Brad Penny,30,18,32,26,2,5,0,0,0,2,0,0,0,7,0.192,0.192,0.192,0.385,3,5,0,0,6,0,0,Right,No,Japan,342000.0,Rookie
30,2008,P,Eric Stults,28,9,18,15,3,2,0,0,0,2,0,0,2,6,0.133,0.222,0.133,0.356,-2,2,0,0,0,1,0,Left,No,USA,327000.0,Rookie
31,2008,P,Hung-Chih Kuo,26,41,14,12,1,3,1,0,0,0,0,0,0,4,0.25,0.25,0.333,0.583,53,4,0,0,2,0,0,Left,No,USA,354000.0,Rookie
32,2008,P,Greg Maddux,42,7,13,13,0,1,0,0,0,1,0,0,0,1,0.077,0.077,0.077,0.154,-59,1,1,0,0,0,0,Right,No,USA,327000.0,Rookie
33,2008,P,Chan Ho Park,35,53,12,9,0,1,0,0,0,0,0,0,0,5,0.111,0.111,0.111,0.222,-41,1,0,0,3,0,0,Right,No,South Korea,15000000.0,Mid
34,2008,P,Esteban Loaiza,36,7,9,6,1,2,0,0,0,1,0,0,0,1,0.333,0.333,0.333,0.667,78,2,1,0,3,0,0,Right,No,Venezuela,367000.0,Rookie
35,2008,P,Jason Johnson,34,16,8,7,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100,0,1,0,1,0,0,Right,No,South Korea,304000.0,Rookie
36,2008,P,Jonathan Broxton,24,70,3,2,0,0,0,0,0,0,0,0,1,0,0.0,0.333,0.0,0.333,-1,0,1,0,0,0,0,Right,No,USA,381000.0,Rookie
37,2008,P,Takashi Saito,38,43,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No,USA,377000.0,Rookie
38,2008,P,Brian Falkenborg,30,16,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,USA,360000.0,Rookie
39,2008,P,Cory Wade,25,53,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,353000.0,Rookie
40,2008,P,Scott Elbert,22,10,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No,USA,380000.0,Rookie
41,2008,P,Joe Beimel,31,69,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,USA,317000.0,Rookie
42,2008,P,Tanyon Sturtze,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,307000.0,Rookie
43,2008,P,Ramon Troncoso,25,32,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,322000.0,Rookie
44,2008,P,Scott Proctor,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,372000.0,Rookie
45,2008,P,Yhency Brazobán,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,303000.0,Rookie
46,2008,P,James McDonald,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,Mexico,352000.0,Rookie
1,2007,C,Russell Martin,24,151,620,540,87,158,32,3,19,87,21,9,67,89,0.293,0.374,0.469,0.843,116,253,16,7,0,6,1,Right,No,USA,4293000.0,Arbitration
2,2007,1B,James Loney,23,96,375,344,41,114,18,4,15,67,0,1,28,48,0.331,0.381,0.538,0.919,134,185,6,1,0,2,5,Left,No,USA,4584000.0,Arbitration
3,2007,2B,Jeff Kent,39,136,562,494,78,149,36,1,20,79,1,3,57,61,0.302,0.375,0.5,0.875,123,247,17,5,0,6,4,Right,No,Puerto Rico,2435000.0,Arbitration
4,2007,SS,Rafael Furcal,29,138,643,581,87,157,23,4,6,47,25,6,55,68,0.27,0.333,0.355,0.687,78,206,11,1,2,3,3,Right,Yes,Cuba,1001000.0,Rookie
5,2007,3B,Nomar Garciaparra,33,121,466,431,39,122,17,0,7,59,3,1,31,41,0.283,0.328,0.371,0.7,80,160,6,0,0,4,5,Right,No,Dominican Republic,3302000.0,Arbitration
6,2007,LF,Luis Gonzalez,39,139,526,464,70,129,23,2,15,68,6,2,56,56,0.278,0.359,0.433,0.793,104,201,11,4,0,2,4,Left,No,Venezuela,1531000.0,Arbitration
7,2007,CF,Juan Pierre,29,162,729,668,96,196,24,8,0,41,64,15,33,37,0.293,0.331,0.353,0.685,77,236,10,6,20,2,0,Left,No,USA,1050000.0,Rookie
8,2007,RF,Andre Ethier,25,153,507,447,50,127,32,2,13,64,0,4,46,68,0.284,0.35,0.452,0.802,105,202,10,4,0,8,12,Left,No,USA,3275000.0,Arbitration
9,2007,RF,Matt Kemp,22,98,311,292,47,100,12,5,10,42,10,5,16,66,0.342,0.373,0.521,0.894,127,152,6,0,0,3,0,Right,No,USA,2870000.0,Arbitration
10,2007,3B,Wilson Betemit,25,84,192,156,22,36,8,0,10,26,0,0,32,49,0.231,0.359,0.474,0.834,113,74,1,1,0,3,0,Right,Yes,Venezuela,4349000.0,Arbitration
11,2007,IF,Tony Abreu,22,59,178,166,19,45,14,1,2,17,0,0,7,21,0.271,0.309,0.404,0.713,82,67,5,3,0,2,1,Right,Yes,USA,1748000.0,Arbitration
12,2007,IF,Ramon Martinez,34,67,147,129,10,25,4,0,0,27,1,0,11,15,0.194,0.248,0.225,0.473,24,29,0,0,2,5,0,Right,No,Dominican Republic,2500000.0,Mid
13,2007,CI,Olmedo Saenz,36,92,132,110,9,21,5,0,4,18,0,0,16,25,0.191,0.295,0.345,0.641,65,38,5,2,0,4,0,Right,No,Dominican Republic,1108000.0,Rookie
14,2007,3B,Andy LaRoche,23,35,115,93,16,21,5,0,1,10,2,1,20,24,0.226,0.365,0.312,0.677,78,29,1,1,0,1,5,Right,No,USA,932000.0,Rookie
15,2007,C,Mike Lieberthal,35,38,82,77,6,18,2,0,0,1,0,0,4,11,0.234,0.28,0.26,0.54,41,20,2,1,0,0,0,Right,No,USA,339000.0,Rookie
16,2007,UT,Wilson Valdez,29,41,80,74,12,16,2,1,0,7,1,0,4,12,0.216,0.263,0.27,0.533,38,20,0,1,0,1,0,Right,No,USA,329000.0,Rookie
17,2007,3B,Shea Hillenbrand,31,20,74,70,6,17,0,2,1,9,0,1,2,12,0.243,0.257,0.343,0.6,53,24,3,0,0,2,1,Right,No,USA,339000.0,Rookie
18,2007,OF,Brady Clark,34,47,66,58,7,13,4,0,0,5,1,2,6,11,0.224,0.308,0.293,0.601,57,17,1,1,1,0,0,Right,No,USA,370000.0,Rookie
19,2007,UT,Delwyn Young,25,19,36,34,4,13,1,1,2,3,1,0,2,5,0.382,0.417,0.647,1.064,169,22,0,0,0,0,0,Right,Yes,USA,354000.0,Rookie
20,2007,1B,Mark Sweeney,37,30,34,33,2,9,1,0,0,3,0,0,1,11,0.273,0.294,0.303,0.597,55,10,0,0,0,0,0,Left,No,USA,380000.0,Rookie
21,2007,SS,Chin-lung Hu,23,12,31,29,5,7,0,1,2,5,0,0,0,8,0.241,0.241,0.517,0.759,88,15,0,0,2,0,0,Right,No,USA,340000.0,Rookie
22,2007,IF,Marlon Anderson,33,23,29,26,3,6,0,0,0,2,1,0,3,5,0.231,0.31,0.231,0.541,43,6,0,0,0,0,0,Left,No,USA,355000.0,Rookie
23,2007,C,Chad Moeller,32,7,9,8,2,1,0,0,0,0,0,0,0,1,0.125,0.222,0.125,0.347,-7,1,1,1,0,0,0,Right,No,USA,357000.0,Rookie
24,2007,P,Brad Penny,29,31,75,65,7,16,6,0,0,7,0,0,1,23,0.246,0.279,0.338,0.618,59,22,0,2,7,0,0,Right,No,Dominican Republic,353000.0,Rookie
25,2007,P,Derek Lowe,34,31,71,59,2,7,0,0,0,1,0,0,5,17,0.119,0.185,0.119,0.303,-19,7,1,0,6,1,0,Right,No,USA,363000.0,Rookie
26,2007,P,Chad Billingsley,22,41,41,36,1,4,1,0,0,2,0,0,1,19,0.111,0.135,0.139,0.274,-29,5,2,0,4,0,0,Right,No,USA,321000.0,Rookie
27,2007,P,Randy Wolf,30,19,37,30,1,5,2,0,0,2,0,0,4,13,0.167,0.265,0.233,0.498,30,7,0,0,3,0,0,Left,No,USA,346000.0,Rookie
28,2007,P,Brett Tomko,34,31,30,24,0,0,0,0,0,1,0,0,1,16,0.0,0.04,0.0,0.04,-88,0,0,0,5,0,0,Right,No,USA,309000.0,Rookie
29,2007,P,Mark Hendrickson,33,35,30,27,1,1,1,0,0,1,0,0,2,10,0.037,0.103,0.074,0.178,-53,2,0,0,1,0,0,Left,No,Venezuela,335000.0,Rookie
30,2007,P,David Wells,44,7,15,15,2,4,1,0,0,1,0,0,0,6,0.267,0.267,0.333,0.6,54,5,0,0,0,0,0,Left,No,USA,344000.0,Rookie
31,2007,P,Eric Stults,27,13,12,12,1,4,2,0,0,0,0,0,0,5,0.333,0.333,0.5,0.833,111,6,0,0,0,0,0,Left,No,Dominican Republic,359000.0,Rookie
32,2007,P,Esteban Loaiza,35,5,9,7,0,1,0,0,0,2,0,0,0,2,0.143,0.143,0.143,0.286,-26,1,1,0,2,0,0,Right,No,Puerto Rico,386000.0,Rookie
33,2007,P,Hung-Chih Kuo,25,5,8,6,1,1,0,0,1,1,0,0,0,3,0.167,0.167,0.667,0.833,101,4,0,0,2,0,0,Left,No,USA,354000.0,Rookie
34,2007,P,Jason Schmidt,34,6,8,7,1,1,0,0,1,1,0,0,0,4,0.143,0.143,0.571,0.714,72,4,0,0,1,0,0,Right,No,Dominican Republic,367000.0,Rookie
35,2007,P,Joe Beimel,30,80,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No,Puerto Rico,346000.0,Rookie
36,2007,P,Rudy Seanez,38,68,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,USA,357000.0,Rookie
37,2007,P,Jon Meloan,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,306000.0,Rookie
38,2007,P,Takashi Saito,37,60,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,USA,323000.0,Rookie
39,2007,P,Chin-hui Tsao,26,20,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Dominican Republic,333000.0,Rookie
40,2007,P,Scott Proctor,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,343000.0,Rookie
41,2007,P,Yhency Brazobán,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,304000.0,Rookie
42,2007,P,D.J. Houlton,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Dominican Republic,313000.0,Rookie
43,2007,P,Eric Hull,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,325000.0,Rookie
44,2007,P,Roberto Hernández,42,22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,387000.0,Rookie
45,2007,P,Jonathan Broxton,23,81,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Cuba,330000.0,Rookie
1,2006,C,Russell Martin,23,121,468,415,65,117,26,4,10,65,10,5,45,57,0.282,0.355,0.436,0.792,101,181,17,4,1,3,8,Right,No,Dominican Republic,1724000.0,Arbitration
2,2006,1B,Nomar Garciaparra,32,122,523,469,82,142,31,2,20,93,3,0,42,30,0.303,0.367,0.505,0.872,120,237,15,8,0,4,9,Right,No,Puerto Rico,4371000.0,Arbitration
3,2006,2B,Jeff Kent,38,115,473,407,61,119,27,3,14,68,1,2,55,69,0.292,0.385,0.477,0.861,119,194,9,8,0,3,8,Right,No,USA,2934000.0,Arbitration
4,2006,SS,Rafael Furcal,28,159,736,654,113,196,32,9,15,63,37,13,73,98,0.3,0.369,0.445,0.814,107,291,7,1,5,3,3,Right,Yes,USA,4574000.0,Arbitration
5,2006,3B,Wilson Betemit,24,55,193,174,19,42,7,0,9,24,1,0,17,45,0.241,0.306,0.437,0.742,87,76,7,0,0,2,3,Right,Yes,Dominican Republic,1643000.0,Arbitration
6,2006,LF,Andre Ethier,24,126,441,396,50,122,20,7,11,55,5,5,34,77,0.308,0.365,0.477,0.842,113,189,11,5,0,6,2,Left,No,USA,3527000.0,Arbitration
7,2006,CF,Kenny Lofton,39,129,522,469,79,141,15,12,3,41,32,5,45,42,0.301,0.36,0.403,0.763,95,189,16,0,6,2,1,Left,No,USA,1009000.0,Rookie
8,2006,RF,J.D. Drew,30,146,594,494,84,140,34,6,20,100,2,3,89,106,0.283,0.393,0.498,0.891,126,246,4,4,1,6,8,Left,No,USA,3918000.0,Arbitration
9,2006,OF,José Cruz,32,86,273,223,34,52,16,1,5,17,5,1,43,54,0.233,0.353,0.381,0.734,88,85,3,0,4,3,2,Right,Yes,Puerto Rico,2338000.0,Arbitration
10,2006,CI,Olmedo Saenz,35,103,204,179,30,53,15,0,11,48,0,0,14,47,0.296,0.363,0.564,0.927,132,101,4,7,0,4,1,Right,No,Cuba,4916000.0,Arbitration
11,2006,2B,Ramon Martinez,33,82,194,176,20,49,7,1,2,24,0,0,15,20,0.278,0.339,0.364,0.702,80,64,9,1,2,0,1,Right,No,Dominican Republic,2500000.0,Mid
12,2006,CF,Matt Kemp,21,52,166,154,30,39,7,1,7,23,6,0,9,53,0.253,0.289,0.448,0.737,85,69,1,0,0,3,1,Right,No,USA,1059000.0,Rookie
13,2006,IF,Julio Lugo,30,49,164,146,16,32,5,1,0,10,6,5,12,29,0.219,0.278,0.267,0.545,41,39,2,1,2,3,0,Right,No,USA,829000.0,Rookie
14,2006,3B,Willy Aybar,23,43,151,128,15,32,12,0,3,22,1,0,18,17,0.25,0.356,0.414,0.77,97,53,5,3,2,0,0,Right,Yes,USA,1824000.0,Arbitration
15,2006,CF,Jason Repko,25,69,150,130,21,33,5,1,3,16,10,4,15,24,0.254,0.345,0.377,0.722,85,49,2,3,2,0,1,Right,No,Cuba,2342000.0,Arbitration
16,2006,3B,César Izturis,26,32,129,119,10,30,7,1,1,12,1,3,7,6,0.252,0.302,0.353,0.655,67,42,1,2,0,1,3,Right,Yes,Dominican Republic,1119000.0,Rookie
17,2006,3B,Bill Mueller,35,32,126,107,12,27,7,0,3,15,1,1,17,9,0.252,0.357,0.402,0.759,94,43,1,1,0,1,3,Right,Yes,Dominican Republic,2932000.0,Arbitration
18,2006,1B,James Loney,22,48,111,102,20,29,6,5,4,18,1,0,8,10,0.284,0.342,0.559,0.901,125,57,8,1,0,0,1,Left,No,USA,3320000.0,Arbitration
19,2006,C,Dioner Navarro,22,25,86,75,5,21,2,0,2,8,1,0,11,18,0.28,0.372,0.387,0.759,95,29,1,0,0,0,4,Right,Yes,USA,308000.0,Rookie
20,2006,LF,Marlon Anderson,32,25,73,64,12,24,3,2,7,15,2,2,7,8,0.375,0.431,0.813,1.243,208,52,3,0,1,1,0,Left,No,USA,356000.0,Rookie
21,2006,C,Sandy Alomar,40,27,62,62,3,20,5,0,0,9,0,0,0,7,0.323,0.323,0.403,0.726,84,25,3,0,0,0,0,Right,No,Venezuela,310000.0,Rookie
22,2006,C,Toby Hall,30,21,60,57,2,21,4,0,0,8,0,0,2,5,0.368,0.383,0.439,0.822,110,25,2,0,0,1,2,Right,No,Cuba,331000.0,Rookie
23,2006,OF,Ricky Ledée,32,43,55,53,4,13,5,0,1,8,1,0,2,10,0.245,0.273,0.396,0.669,68,21,3,0,0,0,0,Left,No,Dominican Republic,346000.0,Rookie
24,2006,IF,Oscar Robles,30,29,39,33,6,5,0,1,0,0,0,0,5,5,0.152,0.263,0.212,0.475,24,7,0,0,1,0,0,Left,No,Dominican Republic,379000.0,Rookie
